epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3825.65,2.03345,2.7054,1.74816,0.36714,0.36303,0.29255,0.12485,1.65657,3.57479,1.40023,0.000555572,0.000555572,0.000555572
2,7072.15,1.92034,2.0755,1.6673,0.44753,0.44461,0.41028,0.19876,1.50887,2.90088,1.30632,0.00100123,0.00100123,0.00100123
3,8925.54,1.80816,1.90688,1.57139,0.46334,0.46669,0.44509,0.22225,1.41533,3.13774,1.26824,0.00133686,0.00133686,0.00133686
4,10777.8,1.7219,1.76933,1.51696,0.51553,0.52117,0.51369,0.26347,1.36582,2.98253,1.22966,0.0011719,0.0011719,0.0011719
5,12639.1,1.64446,1.63515,1.47134,0.54693,0.55028,0.53838,0.28464,1.29667,2.7236,1.1891,0.00100687,0.00100687,0.00100687
6,14490.5,1.5716,1.52043,1.4274,0.58139,0.57883,0.57365,0.31021,1.26685,2.47549,1.16523,0.000841835,0.000841835,0.000841835
7,16349,1.5289,1.44058,1.39549,0.58919,0.59448,0.60028,0.32908,1.23174,2.33303,1.15636,0.000676802,0.000676802,0.000676802
8,18205.9,1.47014,1.34377,1.36396,0.62519,0.60827,0.63053,0.34867,1.20952,2.22116,1.13684,0.000511769,0.000511769,0.000511769
9,20829.9,1.42342,1.2689,1.33855,0.63282,0.62559,0.64373,0.36216,1.18597,2.01775,1.12433,0.000346736,0.000346736,0.000346736
10,25315.3,1.37035,1.19364,1.30758,0.64542,0.62942,0.6584,0.37047,1.17707,1.82732,1.11992,0.000181703,0.000181703,0.000181703
