epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,165.768,1.61731,2.04698,1.48495,0.50667,0.32656,0.31414,0.13827,1.56324,4.60134,1.36294,0.00998145,0.00332715,0.00998145,0.00332715,0.00998145,0.00332715,0.00998145,0.00332715
2,331.067,1.64043,1.6361,1.47872,0.48266,0.40784,0.36788,0.16918,1.59948,13.388,1.4072,0.0195858,0.0065286,0.0195858,0.0065286,0.0195858,0.0065286,0.0195858,0.0065286
3,492.845,1.7448,1.7703,1.55711,0.37767,0.3735,0.31174,0.12622,1.69672,30.9767,1.54033,0.0287942,0.00959806,0.0287942,0.00959806,0.0287942,0.00959806,0.0287942,0.00959806
4,670.626,1.7645,1.81508,1.60133,0.52578,0.4941,0.4938,0.22908,1.51302,9.8759,1.36072,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,823.594,1.69459,1.6705,1.54302,0.58259,0.49893,0.52178,0.24034,1.5096,7.60928,1.32505,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,975.788,1.63075,1.54786,1.49,0.57925,0.52834,0.54489,0.26825,1.43266,5.2405,1.28153,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1128.53,1.58484,1.47082,1.46019,0.61806,0.55134,0.58854,0.28868,1.40948,3.41689,1.25249,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1288.06,1.55851,1.41968,1.43671,0.61933,0.56201,0.60476,0.31297,1.3381,7.69224,1.20799,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1451.81,1.53873,1.37308,1.4187,0.65592,0.59225,0.64515,0.33436,1.32164,4.27425,1.18999,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1649.12,1.50579,1.33742,1.39703,0.67235,0.59932,0.6598,0.34611,1.32052,2.7233,1.19024,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2062.88,1.49517,1.29778,1.38752,0.69407,0.61695,0.6802,0.36786,1.28489,4.49731,1.16987,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2216.35,1.47393,1.26458,1.37302,0.69862,0.62681,0.68696,0.36931,1.26953,2.75218,1.14367,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2629.37,1.45841,1.23742,1.36939,0.68063,0.63708,0.69045,0.37534,1.26157,2.52739,1.15101,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3062.07,1.45849,1.2319,1.36695,0.69632,0.63239,0.6937,0.38403,1.25049,1.95409,1.13641,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3495.07,1.42548,1.18899,1.34158,0.72015,0.63943,0.71253,0.39442,1.24361,2.6667,1.13068,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3923.29,1.41947,1.17891,1.33773,0.7182,0.65631,0.72044,0.39757,1.25087,2.68484,1.1252,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4342.78,1.41528,1.16167,1.32597,0.72808,0.66784,0.73661,0.41068,1.23895,2.07147,1.1121,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4540.82,1.40075,1.13409,1.32171,0.7398,0.65363,0.73013,0.40319,1.23275,2.33762,1.11542,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4691.14,1.38811,1.12087,1.31239,0.71319,0.66199,0.72919,0.40443,1.22884,2.00111,1.10586,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4842.39,1.3776,1.09907,1.30744,0.74749,0.67693,0.74948,0.4177,1.21894,2.21312,1.09726,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4993.24,1.35916,1.07569,1.29931,0.73689,0.69242,0.74981,0.42447,1.19856,2.00657,1.08994,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5146.03,1.3514,1.05019,1.28549,0.75916,0.68178,0.75921,0.4296,1.18945,2.18082,1.08874,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5298.69,1.34633,1.04823,1.2845,0.75526,0.68057,0.76366,0.43419,1.2005,1.53519,1.08987,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5451.27,1.33442,1.03024,1.27605,0.75356,0.69854,0.7593,0.43305,1.19308,1.97754,1.08035,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5601.77,1.32615,1.0201,1.26671,0.7681,0.69775,0.76534,0.43802,1.18533,1.76747,1.07712,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5754.81,1.31158,0.99922,1.26161,0.76811,0.69662,0.76356,0.43705,1.2048,1.58045,1.08934,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5908.21,1.31138,0.99303,1.25449,0.76917,0.70661,0.77553,0.44724,1.18376,1.67313,1.07978,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6061.19,1.29123,0.96781,1.24938,0.75809,0.7157,0.77379,0.44463,1.17713,1.58693,1.07234,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6214.49,1.29173,0.96109,1.24278,0.77841,0.70224,0.77829,0.44891,1.1736,1.59298,1.07298,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6367.76,1.28182,0.94143,1.23679,0.78194,0.70514,0.77956,0.45032,1.18017,1.37023,1.07394,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6523.4,1.26023,0.92082,1.22128,0.77008,0.71849,0.78319,0.45234,1.1836,1.45162,1.07487,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6676.38,1.25535,0.90718,1.22159,0.78985,0.71243,0.78546,0.45525,1.18061,1.37457,1.07292,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6829.35,1.24394,0.89566,1.21316,0.77611,0.71786,0.78739,0.46045,1.17533,1.45043,1.0659,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6981.87,1.23024,0.87575,1.20367,0.78743,0.71727,0.78665,0.45807,1.17965,1.42555,1.07411,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7134.49,1.22591,0.87089,1.20043,0.7883,0.72163,0.78821,0.45783,1.18115,1.35586,1.07452,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7286.96,1.21201,0.85418,1.1924,0.77502,0.73203,0.78794,0.45833,1.17607,1.2978,1.07659,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7439.75,1.20915,0.84212,1.18862,0.77382,0.73148,0.7888,0.4575,1.16709,1.2549,1.07128,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7592.89,1.19664,0.82549,1.18041,0.78551,0.72153,0.78805,0.45878,1.16618,1.24095,1.0699,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7745.85,1.1823,0.80867,1.1759,0.78816,0.7289,0.79239,0.45945,1.17115,1.29747,1.07482,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7898.85,1.17482,0.79901,1.16969,0.78064,0.73587,0.79126,0.46031,1.16887,1.22691,1.07111,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8064.96,1.18243,0.73655,1.17246,0.79153,0.72608,0.78911,0.45916,1.17238,1.16297,1.0796,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8223.67,1.16655,0.7079,1.16151,0.7862,0.73029,0.78828,0.45843,1.1759,1.16123,1.07915,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8379.87,1.14573,0.69495,1.14885,0.78513,0.73135,0.78624,0.45729,1.17575,1.12136,1.07984,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
